"CAINC1 County personal income summary: personal income, population, per capita personal income"
"CAINC1 County personal income summary: personal income, population, per capita personal income"
County
GeoFIPS,GeoName,LineCode,Description,2024
04005,"Coconino, AZ",3,Per capita personal income (dollars) 2,63794
04007,"Gila, AZ",1,Personal income (thousands of dollars),3087433
04007,"Gila, AZ",2,Population (persons) 1,54073
04007,"Gila, AZ",3,Per capita personal income (dollars) 2,57097
04009,"Graham, AZ",1,Personal income (thousands of dollars),1777262
04009,"Graham, AZ",2,Population (persons) 1,40242
04009,"Graham, AZ",3,Per capita personal income (dollars) 2,44164
04011,"Greenlee, AZ",1,Personal income (thousands of dollars),551184
04011,"Greenlee, AZ",2,Population (persons) 1,9410
04011,"Greenlee, AZ",3,Per capita personal income (dollars) 2,58574
04012,"La Paz, AZ*",1,Personal income (thousands of dollars),976199
04012,"La Paz, AZ*",2,Population (persons) 1,16992
04012,"La Paz, AZ*",3,Per capita personal income (dollars) 2,57451
04013,"Maricopa, AZ",1,Personal income (thousands of dollars),337283056
04013,"Maricopa, AZ",2,Population (persons) 1,4673096
04013,"Maricopa, AZ",3,Per capita personal income (dollars) 2,72176
04015,"Mohave, AZ",1,Personal income (thousands of dollars),11003813
04015,"Mohave, AZ",2,Population (persons) 1,226479
04015,"Mohave, AZ",3,Per capita personal income (dollars) 2,48586
04017,"Navajo, AZ",1,Personal income (thousands of dollars),5100954
04017,"Navajo, AZ",2,Population (persons) 1,109516
04017,"Navajo, AZ",3,Per capita personal income (dollars) 2,46577
04019,"Pima, AZ",1,Personal income (thousands of dollars),65267583
04019,"Pima, AZ",2,Population (persons) 1,1080149
04019,"Pima, AZ",3,Per capita personal income (dollars) 2,60425
04021,"Pinal, AZ",1,Personal income (thousands of dollars),26089146
04021,"Pinal, AZ",2,Population (persons) 1,513862
04021,"Pinal, AZ",3,Per capita personal income (dollars) 2,50771
04023,"Santa Cruz, AZ",1,Personal income (thousands of dollars),2567853
04023,"Santa Cruz, AZ",2,Population (persons) 1,50508
04023,"Santa Cruz, AZ",3,Per capita personal income (dollars) 2,50841
